artist;song;duration_ms;year;tempo;genre;energy;key;loudness
Beyoncé;If I Were a Boy;249146;2008;90.007;pop, R&B;0.518;6;-6.126
Bruno Mars;Locked out of Heaven;233478;2012;143.994;pop;0.698;5;-4.165
Rascal Flatts;What Hurts The Most;214106;2006;136.002;country;0.674;5;-5.134
AJR;Weak;201160;2017;123.98;rock;0.637;5;-4.518
DJ Snake;You Know You Like It;247266;2014;196.093;hip hop, pop, Dance/Electronic;0.725;5;-5.346
Dennis Lloyd;Nevermind;156600;2017;99.977;pop;0.688;5;-8.339
Duke Dumont;Need U (100%) [feat. A*M*E] - Radio Edit;174853;2013;124.047;pop, Dance/Electronic;0.835;0;-5.705
Clean Bandit;Rockabye (feat. Sean Paul & Anne-Marie);251088;2016;101.965;pop, Dance/Electronic;0.763;9;-4.068
Anastacia;Sick and Tired;212266;1999;99.848;pop;0.868;0;-4.552
Take That;Patience;202066;2006;175.788;pop;0.783;10;-4.154
Timbaland;If We Ever Meet Again (Featuring Katy Perry);292706;2009;126.091;hip hop, pop, R&B;0.605;8;-7.371
OPM;Heaven Is a Halfpipe (If I Die);257426;2000;95.9;rock;0.894;8;-6.886
Jon Bellion;All Time Low;217603;2016;90.246;hip hop, pop;0.567;0;-4.188
Maroon 5;Sugar;235493;2014;120.042;pop;0.783;1;-7.077
Will Young;Leave Right Now;214733;2003;81.931;pop;0.445;6;-8.674
The Weeknd;Call Out My Name;228373;2018;134.17;pop, R&B;0.593;1;-4.954
MARINA;How to Be a Heartbreaker;221493;2012;140.05;pop, Dance/Electronic;0.897;11;-4.696
Klangkarussell;Sonnentanz - Sun Don't Shine;238120;2014;119.74;pop, Dance/Electronic;0.549;5;-8.262
Jennifer Lopez;Love Don't Cost a Thing;221226;2001;97.577;hip hop, pop, R&B;0.842;4;-5.115
Sean Kingston;Take You There;236693;2008;115.033;hip hop, pop, R&B;0.921;5;-4.321
Rudimental;Feel the Love (feat. John Newman);245186;2013;179.911;pop, Dance/Electronic;0.706;1;-6.849
Snoop Dogg;Sweat - Remix;195986;2011;130.02;hip hop, pop;0.732;7;-5.636
